focus_country,other_country,val
NLD,SOM,4144
NLD,SYC,137538
NLD,TCD,5574
NLD,TGO,61725
NLD,TUN,1088719
NLD,TZA,316938
NLD,UGA,97412
NLD,ZAF,4013695
NLD,ZMB,99813
NLD,ZWE,92824
NLD,AFG,418425
NLD,ARE,71328781
NLD,ARM,253223
NLD,AZE,367564
NLD,BGD,551452
NLD,BHR,3619676
NLD,BRN,50519
NLD,CHN,3949546
NLD,CYP,4274127
NLD,GEO,459576
NLD,HKG,46992095
NLD,IDN,1171269
NLD,IND,7512238
NLD,IRN,676033
NLD,IRQ,2582617
NLD,ISR,5474580
NLD,JOR,7077397
NLD,JPN,6202714
NLD,KAZ,354839
NLD,KGZ,105863
NLD,KHM,17841
NLD,KOR,15402573
NLD,KWT,8605114
NLD,LBN,6047293
NLD,LKA,3508247
NLD,MAC,115452
NLD,MDV,163741
NLD,MNG,1516053
NLD,MYS,4672859
NLD,NPL,1452275
NLD,OMN,1865109
NLD,PAK,1233477
NLD,PHL,6044481
NLD,PSE,5276493
NLD,QAT,7358977
NLD,SAU,46024950
NLD,SGP,13700545
NLD,SYR,220612
NLD,THA,2305768
NLD,TKM,2769
NLD,TUR,13497166
NLD,UZB,11976
NLD,VNM,170213
NLD,XXB,2387086
NLD,YEM,4038
NLD,ALB,672266
NLD,AND,1893870
NLD,AUT,28605163
NLD,BGR,3792421
NLD,BIH,607625
NLD,BLR,304785
NLD,BEL,111628484
NLD,CHE,17535253
NLD,CZE,9121187
NLD,DEU,310502763
NLD,DNK,20712427
NLD,ESP,25701070
NLD,EST,1711078
NLD,FIN,8497238
NLD,FRA,178370655
NLD,GBR,192999493
NLD,GIB,7345
NLD,GRC,7468442
NLD,HRV,3596232
NLD,HUN,10112541
NLD,IRL,11883670
NLD,ISL,1518451
NLD,ITA,18118010
NLD,LTU,3478044
NLD,LVA,1850397
NLD,MDA,210661
NLD,MKD,423586
NLD,MLT,4037410
NLD,MNE,744062
NLD,NOR,21996462
NLD,POL,32730263
NLD,PRT,10265483
NLD,ROU,7849259
NLD,RUS,9530424
NLD,SRB,1876388
NLD,SVK,2723635
NLD,SVN,2162336
NLD,SWE,40505407
NLD,UKR,5472975
NLD,ABW,919670
NLD,ATG,11784
NLD,BES,94178
NLD,BHS,54421
NLD,BMU,46541
NLD,BRB,412221
NLD,CAN,5724556
NLD,CRI,148924
NLD,CUB,1178
NLD,CUW,609858
NLD,DOM,215505
NLD,GRL,93216
NLD,GTM,25060
NLD,HTI,43446
NLD,JAM,291082
NLD,MAF,134765
NLD,MEX,163038
NLD,PAN,3241512
NLD,TTO,86245
NLD,USA,12738445
NLD,AUS,8362099
NLD,FJI,172256
NLD,GUM,638893
NLD,NCL,454590
NLD,NZL,1478973
NLD,PLW,14554
NLD,PNG,33407
NLD,PYF,319781
NLD,ARG,55500
NLD,BRA,753468
NLD,CHL,2876100
NLD,COL,289461
NLD,FLK,17160
NLD,PER,32912
NLD,PRY,338200
NLD,SUR,2018960
NLD,URY,1449404
NLD,VEN,44732
POL,AGO,172698
POL,BEN,110519
POL,CIV,302911
POL,CMR,512781
POL,DJI,167111
POL,DZA,8148886
POL,EGY,5875453
POL,ETH,139259
POL,GHA,22420
POL,GMB,421268
POL,KEN,96278
POL,LBY,8630165
POL,MAR,39768
POL,MDG,14524
POL,MOZ,69863
POL,MUS,130976
POL,MWI,1637
POL,RWA,1033
POL,SDN,197666
POL,SEN,227280
POL,SLE,6621
POL,TGO,2900
POL,TUN,210658
POL,TZA,2402
POL,UGA,8617
POL,ZAF,8088429
POL,ZMB,25091
POL,ATF,13930
POL,AFG,67892
POL,ARE,12071337
POL,ARM,3050498
POL,AZE,2397908
POL,BGD,31524
POL,BHR,1735648
POL,CHN,29187578
POL,CYP,537470
POL,GEO,1558818
POL,HKG,6315469
POL,IDN,1056
POL,IND,1418133
POL,IRN,1203503
POL,IRQ,388388
POL,ISR,5553724
POL,JOR,2606819
POL,JPN,1811389
POL,KAZ,213802
POL,KGZ,112273
POL,KOR,1960477
POL,KWT,5806255
POL,LBN,5706267
POL,LKA,292705
POL,MDV,292749
POL,MNG,2293033
POL,MYS,3934322
POL,NPL,6067
POL,OMN,1882296
POL,PAK,226772
POL,PHL,49655
POL,PRK,61238
POL,PSE,336496
POL,QAT,4800909
POL,SAU,21874934
POL,SGP,7838227
POL,SYR,112186
POL,THA,969793
POL,TJK,93845
POL,TKM,233247
POL,TUR,7073137
POL,UZB,1090619
POL,VNM,203768
POL,XXB,4394526
POL,YEM,101660
POL,ALB,3366943
POL,AUT,13138192
POL,BGR,16618762
POL,BIH,8988680
POL,BLR,2302972
POL,BEL,27177638
POL,CHE,15154387
POL,CZE,90977213
POL,DEU,252199073
POL,DNK,10869498
POL,ESP,8218402
POL,EST,3333502
POL,FIN,1659446
POL,FRA,51504239
POL,GBR,306295169
POL,GRC,8328697
POL,HRV,14731025
POL,HUN,32020754
POL,IRL,12467835
POL,ISL,362049
POL,ITA,50380439
POL,LTU,27328373
POL,LVA,8528363
POL,MDA,869964
POL,MKD,2951462
POL,MLT,399208
POL,MNE,841894
POL,NLD,91144974
POL,NOR,4042009
POL,PRT,2066784
POL,ROU,37976577
POL,RUS,48337058
POL,SRB,9905570
POL,SVK,28200741
POL,SVN,5939581
POL,SWE,8973598
POL,UKR,15483536
POL,BRB,21539
POL,CAN,15950484
POL,CRI,126014
POL,DOM,9157
POL,GRL,36738
POL,GTM,79471
POL,HND,3150
POL,MAF,19730
POL,MEX,1530480
POL,NIC,18543
POL,PAN,32507
POL,SLV,3795
POL,TTO,1265
POL,USA,33500770
POL,ASM,32634
POL,AUS,11283522
POL,FJI,43720
POL,NCL,31092
POL,NZL,2337449
POL,PYF,49087
POL,BRA,2384627
POL,CHL,1218077
POL,COL,124746
POL,PER,184525
POL,PRY,17669
POL,URY,249620
CHE,AGO,87308
CHE,CIV,176240
CHE,CMR,22684
CHE,COD,1392
CHE,COG,31472
CHE,CPV,6857
CHE,DZA,1156277
CHE,EGY,1025057
CHE,ETH,522681
CHE,GHA,27650
CHE,KEN,172747
CHE,LBY,1087800
CHE,MAR,800581
CHE,MDG,36435
CHE,MUS,2034017
CHE,MWI,12225
CHE,NGA,126084
CHE,SEN,157312
CHE,SLE,140752
CHE,SYC,348727
CHE,TUN,1198728
CHE,TZA,95230
CHE,UGA,93752
CHE,ZAF,4027575
CHE,ZMB,80780
CHE,ZWE,46901
CHE,AFG,3022
CHE,ARE,25913611
CHE,ARM,465552
CHE,AZE,265690
CHE,BHR,1584015
CHE,BRN,187451
CHE,CHN,12108040
CHE,CYP,1637556
CHE,GEO,22708
CHE,HKG,7477252
CHE,IDN,1244007
CHE,IND,4300333
CHE,IRN,359788
CHE,IRQ,947152
CHE,ISR,11015579
CHE,JOR,549988
CHE,JPN,13963809
CHE,KAZ,441037
CHE,KGZ,11557
CHE,KHM,27501
CHE,KOR,6400723
CHE,KWT,6510605
CHE,LBN,1656556
CHE,LKA,2681353
CHE,MAC,45618
CHE,MDV,24834
CHE,MNG,74491
CHE,MYS,4805749
CHE,NPL,171099
CHE,OMN,7638097
CHE,PAK,202449
CHE,PHL,13187844
CHE,QAT,6745306
CHE,SAU,8440460
CHE,SGP,16834519
CHE,SYR,5985
CHE,THA,5236916
CHE,TKM,64453
CHE,TUR,5549579
CHE,UZB,10752
CHE,VNM,435516
CHE,XXB,3153272
CHE,YEM,97730
CHE,ALB,123816
CHE,AND,1252808
CHE,AUT,14452803
CHE,BGR,178424
CHE,BIH,130502
CHE,BLR,438303
CHE,BEL,11051287
CHE,CZE,4251835
CHE,DEU,269144132
CHE,DNK,2712292
CHE,ESP,17470738
CHE,EST,2538353
CHE,FIN,4355238
CHE,FRA,85812729
CHE,GBR,32010863
CHE,GIB,86637
CHE,GRC,201910
CHE,HRV,508508
CHE,HUN,266493
CHE,IRL,1013857
CHE,ISL,681630
CHE,ITA,25850875
CHE,LTU,198702
CHE,LVA,101116
CHE,MDA,140865
CHE,MKD,587412
CHE,MLT,917969
CHE,MNE,58548
CHE,NLD,15834554
CHE,NOR,3499180
CHE,POL,2990657
CHE,PRT,179374
CHE,ROU,242993
